saledate,productID,sale,volume
20140831,100,3729.6399,1085.728
20140901,100,2758.8401,814.85901
20140902,100,3449.5901,944.534
20140903,100,3635.3501,969.29999
20140904,100,4978.9199,1311.792
20140905,100,4597.52,1199.248
20140906,100,4988.5498,1210.137
20140907,100,4935.0898,1267.207
20140908,100,4225.54,1077.916
20140909,100,2731,672.83197
20140910,100,5513.8398,1415.312
20140911,100,5659.5601,1289.381
20140912,100,4881.6699,1225.142
20140913,100,5318.6099,1325.8199
20140914,100,6016,1345.886
20140915,100,3393.1299,818.92102
20140916,100,3560.8201,834.09601
20140917,100,3154.6699,798.66498
20140918,100,2628.76,697.55701
20140919,100,6069.7998,2285.3711
20140920,100,6620.3901,2022.1801
20140921,100,5386.0498,1709.215
20140922,100,2615,840.57202
20140923,100,2323.3899,621.35498
20140924,100,5459.77,1450.061
20140925,100,3065.29,957.914
20140926,100,3983.77,1298.6
20140927,100,5274.9702,1490.229
20140928,100,3982.24,1130.9041
20140929,100,3509.96,1052.02
20140930,100,4509.3999,1236.572
20141001,100,5276.25,1327.541
20141002,100,3592.1499,965.90601
20141003,100,3420.0901,931.52698
20141004,100,3561.75,1078.6541
20141005,100,3251.0701,924.789
20141006,100,3020.96,783.396
20141007,100,3016.75,849.60101
20141008,100,4084.45,1351.031
20141009,100,3600.0801,1156.29
20141010,100,3749.6899,1085.463
20141011,100,4797.8599,1278.868
20141012,100,5303.27,1369.7581
20141013,100,4066.2,1049.316
20141014,100,3700.9099,986.53101
20141015,100,3723.5801,892.92603
20141016,100,3336.27,886.91803
20141017,100,3766.71,946.34698
20141018,100,5849.3901,1387.458
20141019,100,4508.3999,1075.595
20141020,100,2952.77,725.72198
20141021,100,3164.72,750.69702
20141022,100,4623.3701,1067.641
20141023,100,3821.71,939.17798
20141024,100,4842.3501,1254.42
20141025,100,5100.8501,1244.099
20141026,100,4336.3999,1028.567
20141027,100,3534.8401,897.229
20141028,100,3858.99,940.07898
20141029,100,4215.9302,941.664
20141030,100,3367.6599,807.80499
20141031,100,3493.8899,816.60101
20141101,100,5457.8599,1406.892
20141102,100,4849.9199,1115.652
20141103,100,3504.6599,788.276
20141104,100,2715.55,756.81702
20141105,100,2976.01,904.73401
20141106,100,2455.47,866.91302
20141107,100,776.21002,255.59399
20141108,100,1440.38,412.42001
20141109,100,4319.8301,1219.978
20141110,100,2570.0801,733.69397
20141111,100,3555.03,1359.214
20141112,100,2920.0601,931.49402
20141113,100,3225.3501,1117.192
20141114,100,3096,1173.8881
20141115,100,4162.8799,1600.136
20141116,100,3096.8999,963.591
20141117,100,2677.8501,885.26801
20141118,100,2728.6001,1116.946
20141119,100,4020.1499,1442.261
20141120,100,2620.1599,811.75897
20141121,100,3358.6599,1118.038
20141122,100,4024.27,1254.701
20141123,100,4027.3999,1086.735
20141124,100,2296.45,623.33801
20141125,100,2561.1599,821.90503
20141126,100,2838.1699,918.74902
20141127,100,2339.95,748.09601
